,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals,PageNo
40,The Power of Your Subconscious Mind  - Unlock Your Mast...,"Paperback, Dr. Murphy Joseph",₹299,₹159,46% off,,,Free delivery,2
41,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis...,"English, Paperback, Experts Disha",₹350,₹188,46% off,4.4,(656),Free delivery,2
42,Bedtime Story Books For Kids In English | Tiny Tales - ...,"Paperback, Soumita Sengupta, Zenaida Pereira, Mayoorika Banerjee, Saachi Bindra, Monalisa Mallick, Nidhi Tholia",₹680,₹451,33% off,4.5,(71),Free delivery,2
43,Quantitative Aptitude for Competitive Examinations  - R...,"English, Paperback, Aggarwal R. S",₹799,₹336,57% off,4.4,(436),"Buy 3 items, save extra 5%",2
44,"Naveen Ankganit, Based On New Syllabus & Pattern For Co...","Paperback, Hindi, Dr. R S Aggarwal",₹550,₹298,45% off,4.5,(513),Free delivery,2
45,Attitude Is Everything,"English, Paperback, Keller Jeff",₹225,₹104,53% off,4.5,"(54,379)","Buy 3 items, save extra 5%",2
46,Vacation Activity Books For Kids 3 Year To 7 Year Old |...,"Paperback, Content Team at Target Publications",₹690,₹555,19% off,4.4,(15),Free delivery,2
47,50+ Bank PO & Clerk 2016-2021 Previous Years' Memory Ba...,"Paperback, Hindi, Adda247 Publications",₹999,₹442,55% off,4.3,(269),Free delivery,2
48,Life's Amazing Secrets,"English, Paperback, Das Gaur Gopal",₹250,₹86,65% off,4.6,"(49,122)",Lowest price in the year,2
49,The Psychology of Money,"English, Paperback, Morgan housel",₹399,₹175,56% off,4.6,"(11,464)","Buy 3 items, save extra 5%",2
50,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ...,"Paperback, Disha Experts","₹1,990","₹1,153",42% off,4.4,(18),Free delivery,2
51,"Little Mee Nursery Books For Kids Learning | English, M...","Paperback, Content Team at Chetana Publications","₹1,450","₹1,199",17% off,4.5,(48),Free delivery,2
52,28 Years UPSC Civil Services IAS Prelims Topic-wise Sol...,"Paperback, Mrunal Patel",₹720,₹316,56% off,4.5,"(1,441)","Buy 3 items, save extra 5%",2
53,400 Days,"English, Paperback, Bhagat Chetan",₹250,₹102,59% off,4.6,"(7,858)","Buy 3 items, save extra 5%",2
54,ENGLISHWALE.COM English Speaking Course Book (BBD SPECI...,"Paperback, Hindi, Pooja Rana",₹280,₹224,20% off,,,"Buy 3 items, save extra 5%",2
55,"Do Epic Shit  - Warikoo Ankur ,","English, Hardcover, Warikoo Ankur",₹399,₹175,56% off,4.5,"(3,188)","Buy 3 items, save extra 5%",2
56,28 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,"Paperback, Disha Experts","₹1,710",₹977,42% off,4.8,(10),Free delivery,2
57,Biology Class 12 CBSE Board 13 Years Skill-wise & Chapt...,"Paperback, Disha Experts",₹260,₹140,46% off,4,(29),Free delivery,2
58,"Sank Magic Practice Copybook, Magic Calligraphy Copyboo...","Spiral Binding, SHANK",₹699,₹158,77% off,3.7,(7),Free delivery,2
59,20+ SBI Clerk Prelims 2022 Mock Test Papers Book (Engli...,"Paperback, Adda247 Publications",₹399,₹232,41% off,4.4,(22),Free delivery,2
60,IBPS Bank Clerk Guide for Preliminary & Main Exams with...,"Paperback, Disha Experts",₹775,₹422,45% off,4.4,(59),Free delivery,2
61,34 Varsh NTA NEET (UG) Chapter-wise & Topic-wise Solved...,"Paperback, Disha Experts",₹340,₹172,49% off,4.4,(98),Free delivery,2
62,Ace Banking And Static Awareness Book (Latest English P...,"Paperback, Adda247 Publications",₹499,₹280,43% off,4.4,(266),Free delivery,2
63,"SHRIMADBHAGWAT GEETA
 Geeta Saar-Sanjeevani Vati ,","Paperback, Hindi, Neera Gupta",₹199,₹159,20% off,,,Free delivery,2
64,What's Up With Me? (Author Handi Signed Copy),"Paperback, Tisca Chopra",₹350,₹182,48% off,5,(5),"Buy 3 items, save extra 5%",2
65,"Baby Record Book, It's A Boy | By Sawan","Paperback, Sawan",₹300,₹231,23% off,4.6,(630),Free delivery,2
66,SBI Clerk 10 Year-wise Prelim & Mains Solved Papers (20...,"Paperback, Disha Experts",₹290,₹164,43% off,4.4,(176),Free delivery,2
67,Foundation Course in Physics for JEE/ NEET/ Olympiad Cl...,"Paperback, Disha Experts",₹540,₹232,57% off,4.6,(97),Free delivery,2
68,Quantitative Aptitude for Competitive Examinations  - b...,"English, Paperback, Aggarwal R. S.",₹749,₹368,50% off,4.5,"(71,755)","Buy 3 items, save extra 5%",2
69,Blossom Jumbo Creative Colouring Book For Kids | 8 To 1...,"Paperback, Content Team at Target Publications",₹180,₹144,20% off,4.5,(421),Free delivery,2
70,Essential English for Competitive Examinations - 2nd Ed...,"English, Paperback, unknown",₹625,₹295,52% off,4.3,"(3,020)",Free delivery,2
71,GO TO Objective NEET Chemistry Guide with DPP & CPP She...,"Paperback, Disha Experts",₹900,₹507,43% off,4.3,(23),Free delivery,2
72,Indian Art and Culture ( English| 4th Edition) | UPSC |...,"English, Paperback, Singhania Nitin",₹875,₹443,49% off,4.6,"(2,458)","Buy 3 items, save extra 5%",2
73,"Master Reasoning Book Verbal, Non-Verbal & Analytical","Hindi, Paperback, unknown",₹665,₹221,66% off,4.4,"(4,018)","Buy 3 items, save extra 5%",2
74,Nursery Writing Books For Kids (Combo Of 4 Books Viz. N...,"Paperback, Content Team at Target Publications",₹360,₹270,25% off,4.4,"(3,202)",Free delivery,2
75,A Complete Book Of Data Interpretation & Analysis (Thir...,"Paperbackk, Hindi, Adda247 Publications",₹699,₹340,51% off,4.1,(40),Free delivery,2
76,Mental Ability for NTSE & Olympiad Exams for Class 10 (...,"English, Paperback, Disha Experts",₹420,₹183,56% off,4.4,"(1,586)",Free delivery,2
77,ICAR IARI Assistant 2022 Complete Books Kit (English Pr...,"Paperback, Adda247 Publications","₹4,197","₹1,451",65% off,4,(3),Free delivery,2
78,Indian Economy (14th Edition) | UPSC | Civil Services E...,"English, Paperback, Singh Ramesh",₹750,₹412,45% off,4.5,"(1,376)","Buy 3 items, save extra 5%",2
79,Ace Quantitative Aptitude Book For Banking And Insuranc...,"Paperback, Hindi, Adda247 Publications",₹599,₹309,48% off,4.3,(103),Free delivery,2
80,The Power of Your Subconscious Mind  - Unlock Your Mast...,"Paperback, Dr. Murphy Joseph",₹299,₹159,46% off,,,,3
81,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis...,"English, Paperback, Experts Disha",₹350,₹188,46% off,4.4,(656),,3
82,Bedtime Story Books For Kids In English | Tiny Tales - ...,"Paperback, Athea Nair, Albina D'Souza, Dipti Kadu",₹340,₹231,32% off,4.3,(72),,3
83,"MEN ARE FROM MARS, WOMEN ARE FROM VENUS","English, Paperback, John Gray",₹399,₹152,61% off,4.5,"(5,953)",,3
84,How to Crack Test of Reasoning,"English, Paperback, Jaikishan, Premkishan",₹235,₹104,55% off,4.4,"(30,604)",,3
85,"English Alphabet Writing, Drawing And Colouring Book Fo...","Paperback, Content team at target publications",₹295,₹212,28% off,4.4,(94),,3
86,Vacation Activity Books For Kids 3 Year To 7 Year Old |...,"Paperback, Content Team at Target Publications",₹690,₹555,19% off,4.4,(15),,3
87,50+ Bank PO & Clerk 2016-2021 Previous Years' Memory Ba...,"Paperback, Hindi, Adda247 Publications",₹999,₹442,55% off,4.3,(269),,3
88,The Coward And The Sword,"Paperback, Jugal Hansraj, Illustrated by Ruchi Shah",₹299,₹126,57% off,4.6,(188),,3
89,Objective Ncert at Your Fingertips for Neet-Aiims-Biolo...,"English, Paperback, unknown",₹900,₹431,52% off,4.6,"(6,442)",,3
90,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ...,"Paperback, Disha Experts","₹1,990","₹1,153",42% off,4.4,(18),,3
91,"Little Mee Nursery Books For Kids Learning | English, M...","Paperback, Content Team at Chetana Publications","₹1,450","₹1,199",17% off,4.5,(48),,3
92,How to Prepare for QUANTITATIVE APTITUDE|10th Edition |...,"Paperback, ARUN SHARMA",₹995,₹534,46% off,4.5,(355),,3
93,The Theory Of Everything,"English, Paperback, Stephen Hawking",₹199,₹96,51% off,4.6,"(13,159)",,3
94,A Complete Book OF READING COMPREHENSION (English Print...,"Paperback, Adda247 Publications",₹799,₹270,66% off,4.4,(207),,3
