,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals
54,ENGLISHWALE.COM English Speaking Course Book (BBD SPECI..., Pooja Rana,280.0,224.0,20,0.0,0,"Buy 3 items, save extra 5%"
55,"Do Epic Shit  - Warikoo Ankur ,", Warikoo Ankur,399.0,175.0,56,4.5,3188,"Buy 3 items, save extra 5%"
58,"Sank Magic Practice Copybook, Magic Calligraphy Copyboo...", SHANK,699.0,158.0,77,3.7,7,Free delivery
59,20+ SBI Clerk Prelims 2022 Mock Test Papers Book (Engli..., Adda247 Publications,399.0,232.0,41,4.4,22,Free delivery
62,Ace Banking And Static Awareness Book (Latest English P..., Adda247 Publications,499.0,280.0,43,4.4,266,Free delivery
63,"SHRIMADBHAGWAT GEETA
 Geeta Saar-Sanjeevani Vati ,", Neera Gupta,199.0,159.0,20,0.0,0,Free delivery
64,What's Up With Me? (Author Handi Signed Copy), Tisca Chopra,350.0,182.0,48,5.0,5,"Buy 3 items, save extra 5%"
65,"Baby Record Book, It's A Boy | By Sawan", Sawan,300.0,231.0,23,4.6,630,Free delivery
68,Quantitative Aptitude for Competitive Examinations  - b..., Aggarwal R. S.,749.0,368.0,50,4.5,71755,"Buy 3 items, save extra 5%"
69,Blossom Jumbo Creative Colouring Book For Kids | 8 To 1..., Content Team at Target Publications,180.0,144.0,20,4.5,421,Free delivery
72,Indian Art and Culture ( English| 4th Edition) | UPSC |..., Singhania Nitin,875.0,443.0,49,4.6,2458,"Buy 3 items, save extra 5%"
73,"Master Reasoning Book Verbal, Non-Verbal & Analytical", unknown,665.0,221.0,66,4.4,4018,"Buy 3 items, save extra 5%"
74,Nursery Writing Books For Kids (Combo Of 4 Books Viz. N..., Content Team at Target Publications,360.0,270.0,25,4.4,3202,Free delivery
75,A Complete Book Of Data Interpretation & Analysis (Thir..., Adda247 Publications,699.0,340.0,51,4.1,40,Free delivery
76,Mental Ability for NTSE & Olympiad Exams for Class 10 (..., Disha Experts,420.0,183.0,56,4.4,1586,Free delivery
77,ICAR IARI Assistant 2022 Complete Books Kit (English Pr..., Adda247 Publications,4197.0,1451.0,65,4.0,3,Free delivery
78,Indian Economy (14th Edition) | UPSC | Civil Services E..., Singh Ramesh,750.0,412.0,45,4.5,1376,"Buy 3 items, save extra 5%"
79,Ace Quantitative Aptitude Book For Banking And Insuranc..., Adda247 Publications,599.0,309.0,48,4.3,103,Free delivery
80,The Power of Your Subconscious Mind  - Unlock Your Mast..., Dr. Murphy Joseph,299.0,159.0,46,0.0,0,Rs40
81,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis..., Experts Disha,350.0,188.0,46,4.4,656,Rs40
82,Bedtime Story Books For Kids In English | Tiny Tales - ..., Dipti Kadu,340.0,231.0,32,4.3,72,Rs40
83,"MEN ARE FROM MARS, WOMEN ARE FROM VENUS", John Gray,399.0,152.0,61,4.5,5953,Rs40
84,How to Crack Test of Reasoning, Premkishan,235.0,104.0,55,4.4,30604,Rs40
85,"English Alphabet Writing, Drawing And Colouring Book Fo...", Content team at target publications,295.0,212.0,28,4.4,94,Rs40
86,Vacation Activity Books For Kids 3 Year To 7 Year Old |..., Content Team at Target Publications,690.0,555.0,19,4.4,15,Rs40
87,50+ Bank PO & Clerk 2016-2021 Previous Years' Memory Ba..., Adda247 Publications,999.0,442.0,55,4.3,269,Rs40
88,The Coward And The Sword, Illustrated by Ruchi Shah,299.0,126.0,57,4.6,188,Rs40
89,Objective Ncert at Your Fingertips for Neet-Aiims-Biolo..., unknown,900.0,431.0,52,4.6,6442,Rs40
90,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ..., Disha Experts,1990.0,1153.0,42,4.4,18,Rs40
91,"Little Mee Nursery Books For Kids Learning | English, M...", Content Team at Chetana Publications,1450.0,1199.0,17,4.5,48,Rs40
92,How to Prepare for QUANTITATIVE APTITUDE|10th Edition |..., ARUN SHARMA,995.0,534.0,46,4.5,355,Rs40
93,The Theory Of Everything, Stephen Hawking,199.0,96.0,51,4.6,13159,Rs40
94,A Complete Book OF READING COMPREHENSION (English Print..., Adda247 Publications,799.0,270.0,66,4.4,207,Rs40
95,Ncert Summary (Class vi-XII)  - One linear for UPSC/IAS..., unknown,375.0,165.0,56,4.3,2071,Rs40
96,28 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers..., Disha Experts,1710.0,977.0,42,4.8,10,Rs40
97,Biology Class 12 CBSE Board 13 Years Skill-wise & Chapt..., Disha Experts,260.0,140.0,46,4.0,29,Rs40
98,"Educart CBSE Class 10 Bundle - Science, SST, English an...", Educart,2446.0,1447.0,40,4.4,511,Rs40
99,Cbse All in One Science Class 10, Gupta Rashmi,550.0,261.0,52,4.4,611,Rs40
100,IBPS Bank Clerk Guide for Preliminary & Main Exams with..., Disha Experts,775.0,422.0,45,4.4,59,Rs40
101,34 Varsh NTA NEET (UG) Chapter-wise & Topic-wise Solved..., Disha Experts,340.0,172.0,49,4.4,98,Rs40
102,Rich Dad Poor Dad, Kiyosaki Robert T.,399.0,147.0,63,4.4,9200,Rs40
103,Rich Dad Poor Dad, Kiyosaki Robert T.,399.0,147.0,63,4.5,5530,Rs40
104,Rich Dad Poor Dad, Robert T. Kiyosaki,499.0,153.0,69,4.5,22439,Rs40
105,Made Easy  - Word Power, Lewis Norman,199.0,120.0,39,4.4,79802,Rs40
106,SBI Clerk 10 Year-wise Prelim & Mains Solved Papers (20..., Disha Experts,290.0,164.0,43,4.4,176,Rs40
107,Foundation Course in Physics for JEE/ NEET/ Olympiad Cl..., Disha Experts,540.0,232.0,57,4.6,97,Rs40
108,How to Prepare for Verbal Ability & Reading Comprehensi..., Sharma Arun,965.0,513.0,46,4.5,388,Rs40
109,UGC Net /Set/Jrf Paper 1 Teaching and Research Aptitude..., Madaan K.V.S.,525.0,240.0,54,4.5,1385,Rs40
110,Essential English for Competitive Examinations - 2nd Ed..., unknown,625.0,295.0,52,4.3,3020,Rs40
111,GO TO Objective NEET Chemistry Guide with DPP & CPP She..., Disha Experts,900.0,507.0,43,4.3,23,Rs40
112,War Of Lanka (Ram Chandra Series Book 4), Tripathi Amish,499.0,300.0,39,0.0,0,Rs40
113,ALCHEMIST  - The Alchemist, Paulo Coelho,399.0,158.0,60,4.6,57753,Rs40
114,Life is What You Make it, Shenoy Preeti,199.0,83.0,58,4.3,24287,Rs40
115,Alchemist, Coelho Paulo,299.0,121.0,59,4.5,4424,Rs40
116,Mental Ability for NTSE & Olympiad Exams for Class 10 (..., Disha Experts,420.0,183.0,56,4.4,1586,Rs40
117,ICAR IARI Assistant 2022 Complete Books Kit (English Pr..., Adda247 Publications,4197.0,1451.0,65,4.0,3,Rs40
118,Ikigai: The Japanese secret to a long and happy Life  -..., Garcia Hector,550.0,205.0,62,4.6,24734,Rs40
119,Sochiye Aur Amir Baniye (Think And Grow Rich), Napoleon Hill,150.0,62.0,58,4.4,1110,Rs40
